PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
31,0,3,"Anderson, Mr. Clarence",male,18.6,0,0,SM37147,5.6,,M
32,0,3,"Evans, Mrs. Beatrice",female,48.5,0,0,SM70314,13.82,,C
33,1,1,"Walker, Miss Ida",female,30.2,0,0,SM24790,144.37,D88,M
34,1,3,"Stewart, Mrs. Gladys",female,46.2,2,1,SM35106,11.08,,M
35,0,3,"Garcia, Miss Rose",female,44.0,0,2,SM99694,4.41,,M
36,0,3,"Thompson, Mrs. Agnes",female,24.1,0,0,SM89478,8.83,,M
37,0,3,"Stewart, Mr. Lawrence",male,14.1,0,3,SM54433,4.05,,C
38,0,3,"Adams, Mr. Ernest",male,35.1,1,0,SM65058,7.78,,C
39,1,3,"Jones, Mr. Clarence",male,25.7,2,0,SM12688,10.96,,M
40,1,1,"Adams, Mr. Stanley",male,57.5,0,0,SM19744,49.3,,L
41,1,3,"King, Miss Elsie",female,33.8,1,1,SM71039,3.5,,C
42,1,2,"Williams, Mrs. Emma",female,28.2,0,1,SM21128,4.92,,C
43,1,2,"Roberts, Mr. David",male,30.7,3,0,SM28434,3.5,,L
44,0,2,"Mitchell, Mr. Clarence",male,,0,1,SM55603,9.12,,L
45,1,3,"Johnson, Miss Emma",female,14.5,0,0,SM69616,3.5,,C
46,1,3,"Garcia, Mr. Frank",male,38.2,2,0,SM40924,11.23,,M
47,1,1,"Garcia, Countess Harriet",female,,0,2,SM95426,50.94,A41,L
48,0,3,"Miller, Miss Anna",female,,0,0,SM88134,4.87,,M
49,1,1,"Thomas, Mrs. Elsie",female,35.2,1,0,SM93719,86.14,,M
50,0,3,"Walker, Mr. Edwin",male,24.9,1,2,SM17120,5.61,,C
51,0,3,"Allen, Mr. Michael",male,29.2,0,1,SM83685,6.38,,L
52,1,1,"Carter, Miss Anna",female,28.7,0,0,SM97994,178.89,C99,L
53,1,1,"Roberts, Mrs. Gertrude",female,38.1,3,2,SM84498,104.47,B70,M
54,0,2,"Parker, Mrs. Clara",female,0.5,1,0,SM85082,20.21,,M
55,1,1,"Brown, Rev. Thomas",male,41.2,0,0,SM99285,63.14,,L
56,1,1,"Evans, Miss Alice",female,,2,0,SM29848,119.46,B62,C
57,1,2,"Taylor, Miss Gertrude",female,17.5,2,1,SM11461,19.0,,C
58,0,3,"Thomas, Mr. Herbert",male,38.8,1,0,SM65965,3.5,,C
59,1,1,"King, Countess Gladys",female,11.5,1,0,SM43972,59.72,,M
60,1,1,"Jackson, Dr. David",male,47.9,1,0,SM14278,119.12,C99,M
61,0,1,"Green, Col. David",male,47.0,1,1,SM45227,95.39,,L
62,1,3,"King, Miss Agnes",female,52.1,2,0,SM16380,7.99,,M
63,1,2,"Johnson, Mrs. Agnes",female,22.1,0,1,SM95848,17.3,,C
64,0,3,"Stewart, Mrs. Mary",female,46.6,1,1,SM34264,4.26,,L
65,1,1,"Young, Countess Helen",female,11.4,1,1,SM62772,103.12,,M
66,1,1,"Scott, Capt. Herbert",male,51.6,0,0,SM97026,88.61,D80,C
67,1,1,"Evans, Lady Florence",female,18.0,3,0,SM26011,64.18,,M
68,0,3,"Green, Mr. Thomas",male,,1,1,SM93681,7.62,,L
69,1,1,"Young, Lady Winifred",female,46.3,0,2,SM76949,52.41,D82,L
70,0,3,"Robinson, Mr. Clarence",male,25.9,1,1,SM26315,7.05,,L
71,0,1,"Jackson, Mr. John",male,64.3,0,0,SM96252,140.74,,L
72,1,3,"Mitchell, Mrs. Alice",female,17.0,0,3,SM65797,7.51,,C
73,1,2,"Parker, Mr. Albert",male,25.3,0,0,SM15529,13.71,,C
74,1,2,"Thompson, Mr. Arthur",male,,0,1,SM77411,6.06,,L
75,0,2,"Parker, Mr. Albert",male,21.2,1,0,SM54077,16.38,,C
76,1,1,"Robinson, Lady Mary",female,47.3,2,0,SM62187,82.75,,C
77,0,3,"Allen, Mr. Albert",male,34.5,0,1,SM17087,6.51,,M
78,1,1,"Martinez, Countess Elsie",female,,0,1,SM23425,79.71,C48,L
79,0,3,"Campbell, Miss Florence",female,33.7,2,2,SM39548,6.05,,L
80,1,3,"Perez, Mrs. Anna",female,0.5,3,0,SM51591,7.78,,C
81,1,2,"Robinson, Mrs. Harriet",female,29.6,0,0,SM38298,22.29,,L
82,0,3,"Collins, Mr. William",male,15.9,0,0,SM16648,11.89,,L
83,1,3,"Moore, Mr. Lawrence",male,53.9,0,1,SM52899,7.74,,L
84,0,1,"Williams, Col. John",male,45.0,0,0,SM58629,46.42,,C
85,0,3,"Smith, Mr. Frederick",male,28.6,3,3,SM10110,6.85,,C
86,0,3,"Lopez, Mr. Henry",male,12.0,0,1,SM29871,12.82,,M
87,1,1,"Clark, Countess Gladys",female,48.1,1,0,SM85397,101.46,C60,C
88,0,2,"Walker, Mr. James",male,,0,0,SM99573,25.08,,M
89,1,2,"Anderson, Mr. Harry",male,,1,0,SM25509,22.93,,L
90,1,1,"Phillips, Lady Nora",female,53.8,0,0,SM17362,102.98,A49,C
91,1,3,"Jackson, Mr. Harry",male,41.8,0,0,SM43361,12.23,,C
92,0,3,"Collins, Mr. Albert",male,35.9,1,2,SM27499,6.07,,L
93,1,2,"Robinson, Miss Nora",female,11.0,1,0,SM38039,25.44,,C
94,0,2,"Nelson, Mr. Charles",male,46.1,3,0,SM32768,16.63,,C
95,0,2,"Jones, Mrs. Clara",female,41.3,1,0,SM51160,26.89,,C
96,0,2,"King, Miss Beatrice",female,33.3,0,0,SM26389,27.79,,C
97,0,1,"Phillips, Mr. Frederick",male,52.8,0,0,SM83147,3.5,,C
98,0,1,"Nelson, Capt. Richard",male,39.4,0,0,SM82132,96.16,A21,M
99,1,1,"Garcia, Dr. William",male,24.3,0,0,SM82642,68.2,C59,L
100,0,3,"Lopez, Mr. Herbert",male,14.2,1,1,SM68190,8.16,,L
101,0,3,"Young, Mr. Henry",male,32.7,0,0,SM23019,5.3,,C
102,0,3,"Carter, Mr. Charles",male,6.2,0,0,SM20998,5.64,,M
103,1,3,"King, Mr. John",male,13.7,0,1,SM29405,6.35,,L
104,0,3,"Lee, Mr. Stanley",male,19.9,0,1,SM75161,8.78,,C
105,1,2,"Campbell, Miss Grace",female,35.0,0,0,SM90967,15.96,,C
106,1,2,"Miller, Mr. Raymond",male,18.1,0,1,SM29601,24.77,,L
107,1,3,"Green, Mr. Frederick",male,38.3,0,3,SM27878,4.2,,C
108,1,2,"Robinson, Miss Edith",female,31.1,0,0,SM45200,14.41,,L
109,0,2,"Lopez, Mr. Richard",male,46.1,0,1,SM90364,11.86,,C
110,1,1,"Thompson, Rev. Roy",male,53.5,0,0,SM44816,67.96,,L
111,0,3,"Brown, Mr. Charles",male,19.0,2,0,SM85784,9.65,,L
112,1,2,"Mitchell, Mr. Stanley",male,,0,0,SM63143,23.18,,C
113,0,3,"Harris, Mr. Herbert",male,24.5,0,2,SM49666,3.5,,L
114,1,1,"Allen, Countess Gertrude",female,20.7,0,0,SM46467,23.67,,M
115,0,3,"Young, Mr. Herbert",male,37.0,0,0,SM83535,8.28,,L
116,0,3,"Adams, Mr. Herbert",male,,3,1,SM87894,5.72,,M
117,1,1,"Clark, Countess Mabel",female,64.0,0,0,SM36326,3.5,B60,M
118,0,3,"Robinson, Mr. Thomas",male,15.5,3,3,SM18569,16.26,,L
119,1,2,"Edwards, Miss Ida",female,34.7,1,0,SM88470,26.82,,C
120,1,3,"Lopez, Mr. John",male,39.3,2,0,SM22387,6.13,,C
121,0,3,"Parker, Mrs. Winifred",female,37.3,1,0,SM95317,6.65,,M
122,1,1,"Campbell, Col. Edwin",male,43.4,0,0,SM58623,81.8,A83,L
123,0,3,"Green, Mr. Walter",male,,0,1,SM90149,6.88,,M
124,0,1,"Martinez, Col. Edwin",male,36.3,0,0,SM79806,65.93,,C
125,0,3,"Taylor, Mrs. Beatrice",female,37.5,1,2,SM24539,6.09,,M
126,0,3,"Scott, Mr. Michael",male,37.0,1,0,SM19556,3.5,,M
127,1,1,"Phillips, Miss Alice",female,,0,0,SM69770,72.06,D94,C
128,0,2,"Hall, Mr. Michael",male,,0,1,SM89194,11.73,,C
129,1,1,"Harris, Miss Clara",female,32.0,1,0,SM75803,119.1,,L
130,0,1,"Mitchell, Mr. Stanley",male,28.2,0,0,SM71835,104.52,B32,M
131,1,1,"Baker, Capt. Frank",male,38.9,2,0,SM41552,93.08,C16,L
132,1,1,"Brown, Lady Cecelia",female,59.6,0,1,SM42447,142.39,,C
133,1,1,"Wright, Dr. Clarence",male,34.5,1,1,SM63627,144.4,,L
134,1,3,"Mitchell, Mr. Charles",male,11.9,2,0,SM98832,8.5,,C
135,1,1,"Nelson, Mrs. Grace",female,13.7,1,1,SM57964,119.8,A82,C
136,0,3,"Phillips, Mr. Thomas",male,,2,2,SM33474,7.07,,L
137,1,1,"Anderson, Capt. Samuel",male,50.4,1,1,SM11256,155.92,B59,M
138,1,1,"King, Mr. George",male,16.1,1,0,SM33021,66.44,C77,C
139,1,1,"Mitchell, Mrs. Harriet",female,44.2,1,0,SM95344,87.16,D89,C
140,1,1,"Parker, Capt. Robert",male,46.7,3,0,SM89635,27.75,,L
141,1,1,"Phillips, Mr. Clarence",male,33.8,0,0,SM50846,62.57,,M
142,0,3,"Hernandez, Mr. Clarence",male,22.3,1,0,SM36398,3.5,,L
143,1,2,"Baker, Mrs. Margaret",female,7.6,0,2,SM69270,27.99,,C
144,1,1,"Garcia, Countess Winifred",female,,1,1,SM81496,155.52,A20,L
145,1,3,"Martinez, Mrs. Anna",female,35.4,1,0,SM20580,12.51,,L
146,1,1,"Jones, Mr. Frederick",male,37.0,0,0,SM92388,96.62,,M
147,0,2,"Martinez, Mr. Walter",male,32.8,0,1,SM63562,35.74,,L
148,1,1,"Baker, Miss Emma",female,34.7,0,0,SM85525,71.21,D62,L
149,0,2,"Roberts, Mr. Thomas",male,,0,0,SM54663,9.07,,M
150,1,3,"Adams, Mrs. Harriet",female,31.2,0,0,SM55640,7.0,,L
151,1,2,"Moore, Mr. Richard",male,36.1,1,2,SM33306,17.97,,C
152,0,3,"Nelson, Mr. Edward",male,13.7,3,0,SM10131,7.02,,M
153,0,1,"Moore, Mr. Thomas",male,31.4,0,0,SM15798,81.34,B79,L
154,1,2,"Allen, Mrs. Gertrude",female,49.3,0,0,SM32701,17.52,,L
155,1,2,"Green, Mr. Edwin",male,,0,0,SM37102,15.82,,M
156,0,3,"Campbell, Mr. Richard",male,23.1,2,3,SM27598,3.5,,L
157,1,2,"Moore, Mr. Harry",male,7.6,1,1,SM30836,24.15,F28,M
158,1,2,"Perez, Mrs. Helen",female,9.8,0,0,SM55224,32.23,,C
159,1,1,"Morris, Rev. Ernest",male,59.1,0,0,SM83946,80.38,B83,C
160,1,1,"Davis, Miss Ethel",female,11.4,0,0,SM99381,110.4,,M
161,1,3,"Hall, Mr. Leonard",male,6.3,2,0,SM29566,3.5,,M
162,0,2,"Lewis, Mr. Edwin",male,49.1,1,1,SM79979,15.56,,M
163,1,2,"Garcia, Mr. Edward",male,23.4,1,0,SM60785,16.99,,L
164,1,3,"Johnson, Mr. Thomas",male,30.5,2,2,SM59089,6.97,,C
165,0,2,"Taylor, Miss Agnes",female,,1,0,SM21247,10.55,E35,M
166,1,3,"Williams, Mrs. Winifred",female,37.9,4,0,SM89670,4.27,,C
167,1,3,"Collins, Miss Clara",female,15.0,4,1,SM58310,6.91,,L
168,0,3,"Taylor, Mr. Charles",male,21.9,1,1,SM67154,12.32,,L
169,1,3,"Roberts, Miss Elsie",female,22.3,2,0,SM27001,3.5,,C
170,1,1,"Adams, Countess Mabel",female,29.9,0,0,SM38864,60.41,A39,L
171,1,1,"Green, Lady Martha",female,25.8,0,1,SM90918,50.76,C88,C
172,1,3,"Miller, Miss Mabel",female,13.4,1,3,SM28837,3.5,,M
173,0,3,"Lee, Mr. Lawrence",male,36.6,1,2,SM84455,8.44,,C
174,1,1,"Scott, Lady Lillian",female,36.4,2,1,SM81197,72.72,D54,M
175,1,2,"Harris, Mrs. Alice",female,11.7,0,0,SM10617,20.88,,L
176,1,3,"Miller, Mr. Clarence",male,22.7,2,0,SM64493,9.88,,M
177,0,3,"Moore, Mr. David",male,8.9,0,1,SM24806,4.13,,L
178,1,1,"Baker, Capt. Harold",male,47.3,0,0,SM69898,91.1,B51,M
179,1,1,"Lee, Col. John",male,32.6,1,1,SM42706,107.11,,L
180,1,2,"Hernandez, Miss Ida",female,15.0,3,0,SM41760,15.55,F40,C
181,1,2,"Campbell, Mr. James",male,14.1,0,0,SM52026,26.77,,M
182,1,3,"Miller, Miss Harriet",female,11.9,0,2,SM38574,6.57,,L
183,1,1,"Walker, Countess Emma",female,32.2,1,0,SM22672,203.15,C81,M
184,0,2,"Nelson, Mr. Walter",male,18.9,0,0,SM38632,16.28,,C
185,0,3,"Lee, Mr. John",male,,1,1,SM22560,6.91,,C
186,0,3,"Adams, Mr. Frederick",male,23.2,2,1,SM49309,9.31,,L
187,1,2,"Clark, Miss Ethel",female,44.0,0,1,SM53286,3.5,E23,L
188,1,1,"Thompson, Mrs. Agnes",female,65.9,0,2,SM98117,66.97,,C
189,1,3,"Brown, Mr. Henry",male,34.8,0,0,SM91940,9.94,,L
190,1,1,"Sanchez, Miss Agnes",female,34.3,0,0,SM64040,92.7,C62,M
191,0,3,"Lewis, Miss Gertrude",female,35.8,0,0,SM40422,8.43,,C
192,1,3,"Nelson, Mrs. Nora",female,19.6,2,0,SM29978,6.24,,C
193,1,1,"Adams, Capt. Frank",male,47.8,1,0,SM21959,133.23,D52,L
194,1,1,"Smith, Lady Frances",female,17.3,1,0,SM81582,138.76,,M
195,0,3,"Robinson, Mr. Robert",male,14.1,0,0,SM65498,7.52,,M
196,0,1,"Campbell, Rev. Lawrence",male,26.9,0,0,SM69441,89.9,A50,L
197,0,3,"Roberts, Mr. Stanley",male,19.3,0,0,SM28659,14.22,,C
198,0,2,"Hall, Mr. David",male,27.9,1,0,SM32149,18.93,,C
199,0,3,"Allen, Mr. Clarence",male,36.9,0,2,SM28293,3.5,,M
200,1,1,"Garcia, Col. Stanley",male,39.8,0,0,SM52622,51.19,C68,C
201,1,1,"Green, Capt. Walter",male,36.1,0,0,SM44760,3.5,,M
202,1,1,"Robinson, Lady Mary",female,47.6,0,0,SM28030,179.71,C22,C
203,1,3,"Baker, Mr. Frank",male,24.7,1,0,SM13788,11.48,,L
204,0,1,"Jones, Mr. Herbert",male,22.1,0,0,SM57277,132.93,A49,L
205,1,3,"Adams, Mrs. Winifred",female,12.5,0,0,SM14861,18.41,,C
206,1,1,"Sanchez, Lady Agnes",female,23.3,0,0,SM72245,82.81,,L
207,1,1,"King, Countess Mabel",female,56.7,0,1,SM96356,148.21,C21,M
208,1,1,"Perez, Miss Cecelia",female,29.9,1,1,SM70981,51.18,,C
209,0,1,"Thompson, Miss Cecelia",female,33.3,0,0,SM69929,124.2,A11,C
210,1,2,"Morris, Mrs. Ethel",female,0.5,0,0,SM39400,15.36,,C
211,1,2,"Perez, Mrs. Emma",female,55.3,3,0,SM61505,19.52,,C
212,1,1,"Campbell, Countess Louisa",female,49.6,0,1,SM66155,20.66,,L
213,1,2,"Jackson, Mr. Ernest",male,19.3,0,0,SM29162,10.55,,C
214,0,3,"Robinson, Miss Dorothy",female,37.4,1,1,SM25674,3.86,,L
215,1,2,"Clark, Mrs. Mary",female,45.6,0,0,SM81620,19.65,,L
216,0,1,"Phillips, Rev. Alfred",male,45.4,0,0,SM36896,155.17,B85,L
217,0,1,"Campbell, Capt. Robert",male,35.6,0,0,SM52840,88.06,D45,M
218,0,3,"Martinez, Mr. Frederick",male,32.2,0,0,SM55068,12.71,,L
219,1,3,"Thompson, Mr. Lawrence",male,5.1,2,1,SM58466,3.5,,M
220,1,2,"Edwards, Mr. Leonard",male,38.6,0,0,SM23133,3.5,,C
221,0,3,"Clark, Mr. Albert",male,22.2,0,1,SM85132,3.5,,L
222,1,3,"Sanchez, Mr. Ernest",male,11.9,3,3,SM84202,3.5,,C
223,1,1,"Phillips, Miss Emma",female,23.9,0,0,SM80305,106.07,A49,C
224,0,3,"Moore, Mr. Herbert",male,36.7,2,0,SM66532,7.91,,M
225,1,1,"Johnson, Lady Mary",female,36.2,1,0,SM33496,131.0,A77,L
226,1,3,"Perez, Miss Ida",female,38.2,0,0,SM71503,5.18,,C
227,0,1,"Anderson, Rev. Henry",male,53.7,1,0,SM67104,67.55,A60,M
228,1,3,"Green, Mr. Edwin",male,43.9,1,0,SM87376,8.98,,M
229,1,2,"Jackson, Miss Louisa",female,22.3,0,1,SM90151,14.94,,C
230,0,3,"King, Mrs. Violet",female,33.3,2,1,SM66980,5.65,,C
231,1,3,"Campbell, Mr. George",male,13.3,2,0,SM99779,8.24,,C
232,0,1,"Moore, Col. Frank",male,31.0,2,0,SM72773,109.21,,C
233,1,3,"Moore, Mr. Charles",male,34.4,0,1,SM51999,3.54,,L
234,0,3,"Mitchell, Mrs. Ida",female,34.8,1,0,SM27423,9.99,,L
235,1,1,"Clark, Mrs. Ethel",female,52.3,1,0,SM45187,80.87,A19,L
236,1,2,"Adams, Mrs. Gladys",female,,0,1,SM50906,22.43,,L
237,0,3,"Parker, Mr. Frederick",male,10.8,0,2,SM46452,9.94,,C
238,0,3,"Young, Mr. Edwin",male,27.8,2,0,SM58258,6.56,,C
239,0,3,"Sanchez, Mr. Roy",male,35.9,0,0,SM64767,6.2,,C
240,1,1,"Carter, Dr. Clarence",male,46.6,0,0,SM74634,119.27,B65,L
241,0,3,"Parker, Mr. Leonard",male,37.2,0,1,SM80464,3.5,,L
242,0,3,"Robinson, Mr. Raymond",male,36.3,1,0,SM65382,5.0,,M
243,0,3,"Moore, Mr. Robert",male,40.0,0,0,SM29558,4.75,,C
244,0,3,"Evans, Miss Ida",female,13.9,1,3,SM18601,12.41,,L
245,1,2,"Lopez, Miss Martha",female,21.3,0,0,SM57294,22.47,E38,M
246,1,1,"Carter, Col. Ernest",male,44.4,0,1,SM82512,77.38,C87,L
247,0,1,"Robinson, Capt. Leonard",male,37.1,1,1,SM75038,3.5,,L
248,1,3,"Phillips, Miss Anna",female,40.0,3,1,SM51116,3.91,,M
249,0,1,"Martinez, Capt. Thomas",male,56.4,0,0,SM31992,63.69,,M
250,1,2,"Perez, Mrs. Cecelia",female,20.0,0,2,SM74517,28.32,,L
251,1,3,"Nelson, Miss Martha",female,37.0,3,1,SM59518,4.37,,C
252,1,1,"Miller, Dr. Thomas",male,43.7,1,0,SM92306,105.43,D97,M
253,0,3,"Robinson, Mr. Robert",male,19.0,0,1,SM69468,3.5,,M
254,1,3,"Stewart, Miss Agnes",female,27.5,2,1,SM98487,4.26,,L
255,1,2,"Edwards, Miss Florence",female,27.8,0,1,SM57395,17.32,,L
256,1,1,"Green, Mrs. Ruth",female,27.8,1,1,SM26728,22.54,,C
257,1,2,"Phillips, Mrs. Anna",female,11.9,3,0,SM75382,23.59,E55,M
258,0,2,"Martinez, Mr. John",male,34.4,0,0,SM60934,28.81,,C
259,0,3,"Carter, Mr. Clarence",male,29.5,2,2,SM54909,12.6,,C
260,0,1,"Robinson, Rev. Leonard",male,45.8,0,1,SM31802,75.14,,L
261,0,2,"Clark, Mr. Ernest",male,34.4,0,1,SM58717,35.98,,L
262,1,1,"Robinson, Countess Helen",female,22.3,1,0,SM20350,74.94,,L
263,1,3,"Hall, Mr. Robert",male,31.6,0,1,SM75054,7.48,,L
264,0,2,"Parker, Mr. Alfred",male,27.2,0,0,SM83420,22.02,,C
265,1,1,"Martin, Lady Gladys",female,41.4,0,0,SM99241,87.39,,C
266,0,1,"Rogers, Dr. Henry",male,,1,0,SM35415,92.33,,L
267,1,1,"Roberts, Mr. Robert",male,44.5,0,0,SM87924,108.21,A63,C
268,1,1,"White, Miss Gertrude",female,48.9,0,2,SM25435,89.16,C67,L
269,1,1,"Green, Lady Rose",female,69.3,1,0,SM10464,56.45,B91,M
270,1,3,"Evans, Mr. Leonard",male,32.8,0,0,SM74440,7.59,,L
271,1,3,"White, Mrs. Mabel",female,22.4,4,0,SM27527,10.48,,C
272,1,2,"Parker, Miss Cecelia",female,44.1,2,0,SM22793,7.34,,C
273,0,3,"Perez, Mr. Herbert",male,31.1,0,0,SM49612,9.47,,C
274,1,2,"Williams, Mr. Robert",male,56.3,0,0,SM27536,11.57,,M
275,0,3,"Green, Mrs. Rose",female,25.1,1,1,SM18566,5.87,,C
276,1,2,"Edwards, Mrs. Nora",female,42.5,0,0,SM52056,19.46,,L
277,1,1,"Lopez, Lady Violet",female,,1,0,SM16428,164.96,,C
278,1,3,"Rogers, Miss Grace",female,27.5,3,2,SM27395,13.56,,L
279,0,2,"Rogers, Mr. Robert",male,32.1,0,0,SM48800,22.83,,L
280,0,1,"Lopez, Col. Alfred",male,53.4,0,0,SM89395,122.94,D78,M
281,1,2,"Williams, Mrs. Louisa",female,20.9,0,1,SM44513,31.15,,C
282,1,1,"Collins, Countess Ida",female,45.2,0,2,SM14722,76.77,,C
283,1,3,"Johnson, Mr. Richard",male,13.2,0,1,SM68891,6.25,,M
284,0,3,"Hernandez, Mr. Frederick",male,18.5,0,0,SM42353,11.72,,C
285,1,1,"Sanchez, Col. James",male,44.2,1,0,SM87397,99.3,A21,L
286,0,3,"Phillips, Mr. Harold",male,29.5,0,2,SM94922,12.0,,C
287,0,3,"Jackson, Mr. Walter",male,31.1,2,0,SM84529,10.16,,L
288,0,2,"Clark, Mr. Ernest",male,31.7,1,0,SM29484,14.09,,C
289,1,3,"Lee, Mr. Edwin",male,5.8,0,0,SM83681,6.88,,C
290,1,2,"Collins, Mr. Clarence",male,10.1,0,0,SM55544,16.05,,L
291,1,2,"Collins, Miss Gertrude",female,20.4,0,1,SM88647,19.36,,L
292,1,2,"Rogers, Mrs. Gertrude",female,19.4,0,1,SM70909,19.3,,L
293,1,1,"Edwards, Col. Michael",male,34.3,3,1,SM55508,73.01,C18,C
294,0,3,"Harris, Mr. Michael",male,20.8,2,0,SM36549,11.47,,L
295,1,1,"Brown, Col. Michael",male,49.6,3,2,SM52917,53.63,,C
296,0,3,"Anderson, Mr. David",male,21.7,4,0,SM84814,5.64,,L
297,1,1,"Green, Mrs. Harriet",female,20.9,0,0,SM33086,149.22,,M
298,1,1,"Harris, Mr. Frederick",male,33.7,0,1,SM72422,19.7,C75,C
299,1,1,"Clark, Rev. Ernest",male,34.0,1,1,SM31697,101.65,,L
300,0,3,"Thomas, Mr. John",male,,0,0,SM89073,13.15,,L
301,1,3,"Jones, Miss Rose",female,,1,0,SM30582,10.62,,M
302,0,1,"Nelson, Dr. Robert",male,54.8,0,0,SM47353,112.18,C88,M
303,1,3,"Williams, Miss Edith",female,,0,3,SM60579,6.15,,L
304,1,1,"Morris, Countess Edith",female,34.2,0,1,SM17552,112.48,D81,C
305,0,3,"Harris, Mr. Alfred",male,18.1,0,0,SM64127,8.86,,M
306,0,3,"Hall, Mr. Walter",male,6.5,0,0,SM77662,9.97,,M
307,1,1,"Garcia, Countess Florence",female,51.0,1,1,SM80284,40.47,D20,C
308,1,2,"Harris, Mr. James",male,46.2,1,0,SM99073,18.74,,M
309,0,3,"Lee, Mr. Edward",male,32.2,0,0,SM42457,3.5,,L
310,1,2,"Sanchez, Mr. Frank",male,51.9,0,0,SM91080,21.98,,M
311,0,3,"Green, Miss Gertrude",female,18.4,3,0,SM25493,7.34,,L
312,0,1,"Turner, Col. Harry",male,42.2,0,2,SM71474,56.45,,L
313,1,3,"Edwards, Mr. Henry",male,31.3,1,0,SM62642,6.71,,C
314,1,2,"Adams, Mr. Frederick",male,23.8,1,0,SM23970,23.84,,C
315,1,2,"Baker, Mr. Henry",male,46.1,0,0,SM18581,37.38,,C
316,0,3,"Smith, Mr. Arthur",male,1.3,3,0,SM48983,14.19,,L
317,1,2,"Robinson, Miss Violet",female,23.0,0,0,SM33425,23.24,,C
318,1,2,"Nelson, Miss Nora",female,25.1,0,2,SM69840,9.63,,C
319,1,2,"Stewart, Mr. Albert",male,32.9,1,0,SM78569,9.25,,L
320,1,2,"Lopez, Mr. Lawrence",male,68.6,0,1,SM16014,31.15,E62,C
321,1,2,"Martinez, Mr. Frank",male,23.6,2,0,SM69905,16.69,,L
322,1,3,"Martinez, Mr. Frank",male,32.3,0,0,SM97826,4.85,,L
323,1,1,"Robinson, Col. Roy",male,45.9,0,0,SM19071,142.12,,C
324,1,1,"Edwards, Mrs. Gladys",female,27.1,1,0,SM61347,37.55,A40,C
325,1,1,"Hall, Mrs. Emma",female,43.1,0,0,SM63008,68.65,,L
326,1,2,"White, Mrs. Agnes",female,42.3,0,0,SM60556,12.84,,C
327,0,3,"Jones, Mr. Leonard",male,21.5,0,0,SM54606,6.63,,M
328,1,1,"Martinez, Countess Edith",female,23.8,2,2,SM19742,131.99,,C
329,1,1,"Morris, Capt. Alfred",male,51.4,0,0,SM16734,87.52,D24,M
330,1,1,"Harris, Countess Anna",female,45.2,1,1,SM29936,48.39,A26,C
331,0,2,"Parker, Mrs. Elsie",female,15.1,0,2,SM82368,26.85,F32,C
